"","Overal_Indep","Dep","Spec_Indep","Estimate","Lower","Upper","P_val"
"73","Ecoregion_Aspect","Bud.Swollen","CSCD","4.27914637988682","0.932271980402557","7.62602077937109","0.0129123234061938"
"74","Ecoregion_Aspect","Bud.Swollen","CSCO","1.6371404352341","-1.9662562590831","5.2405371295513","0.375862334549329"
"75","Ecoregion_Aspect","Bud.Swollen","KLMT","2.02782205311694","-0.755237920409557","4.81088202664343","0.155776137325429"
"76","Ecoregion_Aspect","Bud.Swollen","PULO","4.81360053250018","2.03774917326459","7.58945189173578","0.000766981133618816"
"77","Ecoregion_Aspect","Bud.Swollen","SRNA","3.50038257376357","-0.241866022396613","7.24263116992376","0.0685874380465229"
"78","Ecoregion_Aspect","Bud.Swollen","WIVA","2.50277280139427","-0.515054795741118","5.52060039852965","0.106273580493758"
"79","Ecoregion_Aspect","Bud.Swollen","Aspect","-0.118372066504765","-0.580959456865531","0.344215323856002","0.617865661542306"
"80","Lat","Bud.Swollen","Lat","0.251186675160317","0.0119686501648816","0.490404700155752","0.0399593193805578"
"81","Lat_Long","Bud.Swollen","Lat","0.295871419864593","0.0510279561904797","0.540714883538707","0.0182458018195558"
"82","Lat_Long","Bud.Swollen","Long","0.757658640319501","-0.167134292411667","1.68245157305067","0.10904355869547"
"83","Lat_Long_Elev","Bud.Swollen","Lat","0.324625320001502","0.0531038802974867","0.596146759705517","0.0196144047346626"
"84","Lat_Long_Elev","Bud.Swollen","Long","0.692182659218499","-0.270345596911769","1.65471091534877","0.159790411272781"
"85","Lat_Long_Elev","Bud.Swollen","Elev","0.000751334961146858","-0.00231809165767143","0.00382076157996515","0.632033983134067"
"86","Lat_Long_eFFP","Bud.Swollen","Lat","0.330255107808686","0.0515824018050496","0.608927813812322","0.0207069752885174"
"87","Lat_Long_eFFP","Bud.Swollen","Long","0.839136173898463","-0.137830925337672","1.8161032731346","0.0932630096595078"
"88","Lat_Long_eFFP","Bud.Swollen","eFFP","0.0165983674935869","-0.0476911528571074","0.0808878878442812","0.613504444512962"
"89","Lat_Long_MSP","Bud.Swollen","Lat","0.263856123451933","0.00383650421325737","0.523875742690609","0.0474796038856376"
"90","Lat_Long_MSP","Bud.Swollen","Long","0.827430984199948","-0.11656970691633","1.77143167531623","0.086762483122692"
"91","Lat_Long_MSP","Bud.Swollen","MSP","0.00373525758082556","-0.00651186598392307","0.0139823811455742","0.475831316046382"
"92","Lat_Long_Slope","Bud.Swollen","Lat","0.310418844541432","0.0561687693409033","0.564668919741961","0.0171784774543907"
"93","Lat_Long_Slope","Bud.Swollen","Long","0.738277015782974","-0.190894319899207","1.66744835146515","0.120440782779272"
"94","Lat_Long_Slope","Bud.Swollen","Slope","1.40808977033836","-5.23631929610153","8.05249883677826","0.678439564483687"
"95","Lat_Long_Aspect","Bud.Swollen","Lat","0.302056255559423","0.0540704920770731","0.550042019041772","0.0174412904286916"
"96","Lat_Long_Aspect","Bud.Swollen","Long","0.777228697437681","-0.155888733570713","1.71034612844608","0.103572111687685"
"97","Lat_Long_Aspect","Bud.Swollen","Aspect","-0.0666433815408534","-0.491954205013056","0.358667441931349","0.759179284557894"
"98","Lat_Long_DD.5.sp","Bud.Swollen","Lat","0.29553696351874","-0.0636181096046624","0.654692036642143","0.107804222282379"
"99","Lat_Long_DD.5.sp","Bud.Swollen","Long","0.757757736483399","-0.170309804437987","1.68582527740479","0.110554585257724"
"100","Lat_Long_DD.5.sp","Bud.Swollen","DD.5.sp","-1.16094841162686e-05","-0.00913245996820362","0.00910924099997108","0.998012999691102"
"101","Lat_Elev","Bud.Swollen","Lat","0.310430686895035","0.0391672875972496","0.58169408619282","0.0253465086735195"
"102","Lat_Elev","Bud.Swollen","Elev","0.00136475345766622","-0.00158877896026959","0.00431828587560203","0.365726735032978"
"103","Lat_Elev_DD.5.sp","Bud.Elongating","Lat","-0.558101685558706","-1.07947367768883","-0.0367296934285793","0.0365840198916409"
"104","Lat_Elev_DD.5.sp","Bud.Elongating","Elev","-0.00314537681176463","-0.00694844577260456","0.000657692149075291","0.106024669076118"
"105","Lat_Elev_DD.5.sp","Bud.Elongating","DD.5.sp","-0.0151041140974912","-0.0268246186370405","-0.00338360955794182","0.0119223831003151"
"106","Lat_MSP","Bud.Elongating","Lat","-0.0687920640613244","-0.289165711760206","0.151581583637558","0.541087536835941"
"107","Lat_MSP","Bud.Elongating","MSP","0.00930101380104959","0.000715963309030723","0.0178860642930685","0.0342277376221392"
"108","Long_MSP","Bud.Elongating","Long","-0.335098535331917","-1.134958862983","0.464761792319164","0.412139464721105"
"109","Long_MSP","Bud.Elongating","MSP","0.00736822979980254","-0.000881530707938983","0.0156179903075441","0.0807007813630968"
"110","Elev_MSP","Bud.Elongating","Elev","0.000108915694533787","-0.00212208501404187","0.00233991640310944","0.92384105123433"
"111","Elev_MSP","Bud.Elongating","MSP","0.00825875465356","0.000276375377557668","0.0162411339295623","0.0431350034016927"
"112","eFFP_MSP","Bud.Elongating","eFFP","0.00285561655478208","-0.0446925028435653","0.0504037359531295","0.906382557100095"
"113","eFFP_MSP","Bud.Elongating","MSP","0.00832925247916139","0.000349340905756095","0.0163091640525667","0.041327354290484"
"114","MSP","Bud.Elongating","MSP","0.00829117214961571","0.000336427130109646","0.0162459171691218","0.0414418094652005"
"115","MSP_Slope","Bud.Elongating","MSP","0.00829550198047918","0.00034098820680672","0.0162500157541516","0.0415041732758513"
"116","MSP_Slope","Bud.Elongating","Slope","-0.623189101144837","-6.02862108068311","4.78224287839344","0.821393831742936"
"117","MSP_Aspect","Bud.Elongating","MSP","0.00838194120371143","0.000400825731975227","0.0163630566754476","0.0400937883621397"
"118","MSP_Aspect","Bud.Elongating","Aspect","0.0497681549211628","-0.308851348459649","0.408387658301975","0.78582044055347"
"119","MSP_DD.5.sp","Bud.Elongating","MSP","0.00736431308306929","-0.00258362472474215","0.0173122508908807","0.14753332681746"
"120","MSP_DD.5.sp","Bud.Elongating","DD.5.sp","-0.00100660073548922","-0.00749494586340144","0.005481744392423","0.761295653947846"
"121","Lat","Leaves.emerging","Lat","0.0987476717113224","-0.083643993525431","0.281139336948076","0.288889524622414"
"122","Lat_Long","Leaves.emerging","Lat","0.0888845164561854","-0.0981769443119449","0.275945977224316","0.352316312958722"
"123","Lat_Long","Leaves.emerging","Long","-0.165800055761865","-0.872451097804389","0.540850986280659","0.645945439368844"
"124","Lat_Elev","Leaves.emerging","Lat","0.0771717571501162","-0.129801809007921","0.284145323308153","0.465417345373823"
"125","Lat_Elev","Leaves.emerging","Elev","-0.000497061106615291","-0.00275083101687503","0.00175670880364445","0.665861132160511"
"126","Lat_eFFP","Leaves.emerging","Lat","0.105686997281059","-0.0945967899735073","0.305970784535625","0.301683877568631"
"127","Lat_eFFP","Leaves.emerging","eFFP","0.00391215621706296","-0.0426196692777397","0.0504439817118656","0.869233740378324"
"128","Lat_MSP","Leaves.emerging","Lat","0.109143639728392","-0.0877793090756782","0.306066588532463","0.278027409282161"
"129","Lat_MSP","Leaves.emerging","MSP","-0.00107066689464317","-0.00874119218786101","0.00659985839857467","0.7846088136933"
"130","Lat_Slope","Leaves.emerging","Lat","0.105356112014204","-0.0855131362011358","0.296225360229544","0.279993927141379"
"131","Lat_Slope","Leaves.emerging","Slope","0.596569365534754","-4.4579468550319","5.65108558610141","0.817227069729842"
"132","Lat_Aspect","Leaves.emerging","Lat","0.0978156476836751","-0.086198813357747","0.281830108725097","0.298147657839693"
"133","Lat_Aspect","Leaves.emerging","Aspect","0.0123559685529612","-0.309753677260495","0.334465614366417","0.940123454314491"
"134","Lat_DD.5.sp","Leaves.emerging","Lat","0.118588517523377","-0.154786132532664","0.391963167579417","0.395778721591364"
"135","Lat_DD.5.sp","Leaves.emerging","DD.5.sp","0.000676691727601267","-0.0062722339381645","0.00762561739336703","0.848771441292203"
"136","Long","Leaves.emerging","Long","-0.241449145488019","-0.930755206781098","0.44785691580506","0.492488303958945"
"137","Elev","Leaves.emerging","Elev","-0.000894206854848554","-0.00288086738200081","0.0010924536723037","0.377859715753487"
"138","Elev_DD.5.sp","Leaves.emerging","Elev","-0.000960971304295018","-0.0029544646646115","0.00103252205602146","0.34538130274967"
"139","Elev_DD.5.sp","Leaves.emerging","DD.5.sp","-0.00176634613202976","-0.00641986108355163","0.00288716881949211","0.457424534564975"
"140","eFFP","Leaves.emerging","eFFP","-0.00623128895438176","-0.0486434201087923","0.0361808422000288","0.77339534810708"
"141","MSP","Leaves.emerging","MSP","0.00053782375521828","-0.00657287651751431","0.00764852402795087","0.882158068223796"
"142","Slope","Leaves.emerging","Slope","-0.225444363507381","-5.05990053177009","4.60901180475532","0.927180037549609"
"143","Aspect","Leaves.emerging","Aspect","0.0349659018745752","-0.284584140533438","0.354515944282588","0.830197831289515"
"144","DD.5.sp","Leaves.emerging","DD.5.sp","-0.0015685133259889","-0.00620732314331261","0.0030702964913348","0.507613718311625"
