"","Latitude","Longitude","Slope","Aspect","Elevation","DD.5.wt","Tmax.wt","Eref.wt","MCMT","DD.5.at","Tave.wt","DD.18.wt","Tave.at","DD.18.at","DD.18","DD.5","MAT","SHM","Tmax.at","CMD.at","Eref.at","eFFP.y","DD.5.sp","DD.18.at.1","Tave.sp","DD.18.sp","Tmin.at","Tmin.wt","PPT.sm","CMD","CMD.sp","EMT","Eref.sp","MSP.y","bFFP.x"
"Eref.at",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171220696646989,0.684413300910899,0.819834567197239,0.659483735753838,0.646663353725036,0.194112820407949,0.130589047047977,0.634147169449495,0.873787059086676,0.574689007951579,0.0929474700215781,0.951925891565327,0.416014413584772,0.0863629566700432
"eFFP.y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.480913619192406,0.291667170332665,0.494837965189437,0.506660887417698,0.948557023285584,0.947071695666133,0.200852970158853,0.088282703905878,0.143911221793768,0.914342834284012,0.100200026782132,0.142733123754032,0.932867434143041
"DD.5.sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.716367561451419,0.996022812503772,0.993258493773638,0.47821550616274,0.441869569355515,0.62506921958678,0.660831268299048,0.653257350059028,0.3962349677077,0.704054832875581,0.519150305660916,0.425458758248426
"DD.18.at.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700198803434986,0.682318282319858,0.384864701787621,0.196404624856754,0.519672541586182,0.697099094324686,0.449842115085974,0.150214245658062,0.756958792941412,0.332654587536061,0.168484685639564
"Tave.sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999029726136055,0.491710476167654,0.459937485282736,0.615075107542735,0.638149051937539,0.635238397706274,0.416369822827254,0.68179927365982,0.512337351197308,0.437842630755565
"DD.18.sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499351504740932,0.476384025795221,0.607277738746198,0.623394739371925,0.625242279673143,0.433363532787207,0.6683895113277,0.506400064126121,0.451536655342527
"Tmin.at",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.843880767217893,0.214907022024286,0.110569180029647,0.143876209211168,0.799948425089164,0.11709713702763,0.15001662004954,0.846070547450576
"Tmin.wt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197272686429345,0.0679886071572926,0.135632719770092,0.988444123238511,0.0736987267690203,0.154740909844459,0.953283304787981
"PPT.sm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813609991221069,0.783294385234836,0.179892883508587,0.633624169923976,0.925955933934157,0.168950797326471
"CMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818567561110873,0.0475249560187621,0.918081453504491,0.671930202771086,0.0454313992954461
"CMD.sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115982481155657,0.647225272563727,0.781176796786708,0.132568888881455
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0482611802603281,0.152760590664167,0.946135671245656
"Eref.sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453331211713598,0.0434581865194154
"MSP.y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151759663289378
"bFFP.x",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
