"","ClimVar","PVGr","PVDBK","PVMort","PHGr","PHDBK","PHMort","SFGr","SFDBK","SFMort","SOGr","SODBK","SOMort"
"40","Tave.at",0.000176794397908531,0.000868512963835815,0.00286894924333586,0.000581404921749999,0.00047985519779718,0.00109748563505486,1.25558143849183e-05,0.000955185706305836,0.000644539409324423,0.000321456398397328,1.95169020690624e-06,0.000420875169146559
"41","PPT.wt",3.00329013058578e-07,0.000306271102127627,0.00202323144640363,0.000786709670165461,4.56446849107026e-05,0.000150569883123171,0.000203797677222171,0.000640196631892934,0.00109693604113596,9.04654316603704e-05,3.85509256323755e-07,0.000671831916766491
"42","PPT.sp",2.24416647715838e-07,5.99360096312477e-05,0.000526517098253244,0.000510957052534025,3.87095697799076e-05,0.000186225009028389,0.000504972229123474,8.04939402788321e-05,0.0018328245476593,3.59602275652023e-06,0.000103841914693493,8.27400271673808e-05
"43","PPT.sm",0.000121187978838347,0.000497813072565338,0.00162519130238587,1.69664316117514e-05,8.9365328254412e-05,5.57650630385915e-05,0.000179265451514299,0.0014472226932792,4.75201578939813e-05,5.26654643292208e-05,0.000216176243176452,0.0013305379925036
"44","PPT.at",0.000146097875636223,6.86454984712275e-06,7.16196935904322e-05,0.000189259354195352,9.11047503633008e-06,0.000242932153983275,0.000128549302853556,1.91984398550004e-07,0.000268722082807922,6.26034935938769e-05,4.32744134210981e-06,7.28457995366828e-08
"45","Rad.wt",0.000469948547064092,0.000207704406710346,1.44463423034857e-06,4.58362445694347e-06,0.000630957797161323,0.00694689427674938,0.00130843349509015,0.000932303619588095,0.00155384032976425,0.000115136011759155,0.000741774131787444,0.000441893343669828
"46","Rad.sp",0.00046951167764338,0.000207895677736917,1.46833164367313e-06,4.59504880978913e-06,0.000630813804856191,0.00694397300191692,0.00130803947303023,0.000931973640796988,0.00155409717259461,0.000114958092953153,0.000741863864752024,0.000442266077446672
"47","Rad.sm",0.000469126539843837,0.000207984894147094,1.457358140128e-06,4.59067978863788e-06,0.000630473188276533,0.00694127372775362,0.00130777494521597,0.000931883178141539,0.00155449890390804,0.000114847470101049,0.000741964026352327,0.000442384289585685
"48","Rad.at",0.000469440842002988,0.000207930836167208,1.4750500163066e-06,4.60158527882756e-06,0.000630782647718629,0.00694323933775678,0.00130800132198287,0.000931973461462893,0.00155454673231531,0.000114980655350493,0.000741823605679646,0.000442490336715557
"49","DD.0.wt",9.21465357862002e-06,0.000122503034026068,0.000749139221332881,0.000120388514963673,0.000334204464412449,0.00332152592912124,7.49823556377015e-06,0.000681524272505571,0.00013254096321183,0.000170497764458772,0.000218518911305246,0.000229807832121776
"50","DD.0.sp",0.000127886355927892,4.10244309287792e-05,0.000337729883971013,1.29220323186447e-07,0.000306467622700111,0.00342711294013732,3.08277386395304e-05,0.00020541854175139,0.000132614475513442,0.000564991748148916,0.000304740464191762,0.000143430442594931
"51","DD.0.sm",0,0,0,0,0,0,0,0,0,0,0,0
