Site,Ecoregion,Source,Family,Block,Tree,Condition,Height,Distance,ElevDist,eFFP,MSP,Slope,Aspect,Hardiness,DD.5.sp,Year
PH,CORA,BA,BA5,4,1,4,111,490.3650543,11.7640725,1351,21,72.99042267,12.8,35,1978,15
PH,PULO,BC,BC3,1,2,1,146,255.3537907,97.18664163,792,9,88.89042267,17.7,115,2618,15
PH,KLMT,BK,BK2,1,1,4,1,575.1439067,489.5617463,2668,176,50.89042267,7.4,42,1771,15
PH,KLMT,BK,BK3,1,3,2,177,572.2859636,198.3945382,2233,123,59.59042267,8.8,41,1732,15
PH,KLMT,BK,BK3,3,2,4,25,572.2859636,198.3945382,2233,123,59.59042267,8.8,41,1732,15
PH,KLMT,BK,BK3,4,4,4,27,572.2859636,198.3945382,2233,123,59.59042267,8.8,41,1732,15
PH,CSCO,BL,BL2,3,3,2,176,891.6454201,400.72798,765,-136,431.4904227,22.2,42,1453,15
PH,CSCO,BL,BL3,1,3,1,17,891.610654,405.541853,767,-136,431.0904227,22.1,42,1453,15
PH,CSCO,BL,BL3,1,4,2,52,891.610654,405.541853,767,-136,431.0904227,22.1,42,1453,15
PH,PULO,BR,BR7,1,3,4,57,48.96941826,5.00886473,993,-2,98.39042267,16.2,68,2103,15
PH,CSCO,CA,CA3,3,5,2,119,952.632552,118.9697902,713,-148,545.2904227,24.3,25,1060,15
PH,PULO,CB,CB1,1,3,4,109,163.2414141,16.10789931,620,35,76.59042267,21.7,80,2350,15
PH,CSCO,CC,CC7,1,3,4,48,1019.300472,-10.81089575,415,-164,738.0904227,33.3,20,1057,15
PH,CSCO,CC,CC7,3,3,4,1,1019.300472,-10.81089575,415,-164,738.0904227,33.3,20,1057,15
PH,PULO,CL,CL1,2,1,4,149,88.39960965,10.72009164,575,22,82.59042267,23.3,69,2209,15
PH,PULO,CR,CR2,1,1,4,3,131.1091077,80.68247603,826,38,80.19042267,18.4,73,2152,15
PH,PULO,CR,CR2,1,2,2,77,131.1091077,80.68247603,826,38,80.19042267,18.4,73,2152,15
PH,PULO,CR,CR2,1,4,4,306,131.1091077,80.68247603,826,38,80.19042267,18.4,73,2152,15
PH,KLMT,CY,CY6,1,2,4,1,479.9952613,233.6952501,521,-71,175.7904227,26.3,67,1925,15
PH,CSCD,DE,DE6,1,2,1,37,277.9773483,725.5132711,1620,101,61.69042267,9.6,184,2988,15
PH,PULO,FB,FB9,3,5,4,68,147.0779364,-15.95996226,389,-22,101.5904227,28.9,74,2313,15
PH,PULO,FW,FW10,3,4,4,274,13.00239329,77.83639803,714,4,94.69042267,20.4,73,2160,15
PH,CORA,GA,GA3,3,1,1,5,797.0603469,248.4779672,1231,-100,229.5904227,15.1,35,1477,15
PH,KLMT,GP,GP1,1,3,4,212,529.1479401,411.7205105,504,-100,240.6904227,26.7,78,2001,15
PH,KLMT,HC,HC2,1,5,2,70,774.131536,379.4524479,1196,-86,202.1904227,15.5,34,1469,15
PH,KLMT,HC,HC2,4,3,2,90,774.131536,379.4524479,1196,-86,202.1904227,15.5,34,1469,15
PH,CSCO,HP,HP1,2,2,1,123,910.8957033,279.6608198,697,-140,469.9904227,24.6,28,1159,15
PH,KLMT,KLa,KL10,1,4,2,135,589.566697,959.8627831,1485,-41,136.8904227,11.6,90,2277,15
PH,KLMT,KLc,KL13,3,2,4,92,653.3591899,1150.66082,959,-82,201.6904227,16.5,117,2323,15
PH,KLMT,KLc,KL14,3,3,4,127,658.6291901,277.6608198,1079,-77,218.0904227,17.7,40,1331,15
PH,PULO,KM,KM1,1,2,1,127,29.77501637,46.74431283,905,-2,98.39042267,17.3,71,2139,15
PH,PULO,KM,KM10,2,1,4,1,29.69128494,56.06515411,904,-2,98.09042267,17.3,71,2145,15
PH,PULO,KM,KM10,2,3,2,54,29.69128494,56.06515411,904,-2,98.09042267,17.3,71,2145,15
PH,CORA,LA,LA10,1,2,4,55,1096.823797,624.9637023,707,-134,362.4904227,23.6,22,1178,15
PH,CORA,LA,LA10,3,2,2,1,1096.823797,624.9637023,707,-134,362.4904227,23.6,22,1178,15
PH,CORA,LA,LA13,1,3,2,162,1093.02096,526.4159877,642,-139,397.8904227,25.4,21,1138,15
PH,CORA,LA,LA13,1,4,4,128,1093.02096,526.4159877,642,-139,397.8904227,25.4,21,1138,15
PH,CORA,LA,LA5,1,2,4,238,1106.354727,420.6608198,754,-136,378.7904227,22.9,20,1076,15
PH,CORA,LA,LA5,2,1,4,132,1106.354727,420.6608198,754,-136,378.7904227,22.9,20,1076,15
PH,CORA,LA,LA5,3,1,4,23,1106.354727,420.6608198,754,-136,378.7904227,22.9,20,1076,15
PH,CORA,LC,LC1,1,5,4,221,148.256208,577.577075,1011,-8,89.59042267,14.7,92,2599,15
