"","Site","Ecoregion","Source","Family","Block","Tree","Condition","Height","Distance","ElevDist","eFFP","MSP","Slope","Aspect","Hardiness","DD.5.sp","Year"
"1789","SO","CSCD","DE","DE4","1","4","1","45","265.216511333043","492","1638","204","60.984262369","9.5","187","2931","12"
"1790","SO","CSCO","BL","BL3","1","4","1","45","375.540070138778","121.8810332","787","-33","431.084262369","22.1","42","1360","12"
"1791","SO","CSCO","CA","CA3","1","3","4","30","441.653031908936","-164.6910296","733","-45","545.284262369","24.3","25","967","12"
"1792","SO","PULO","CB","CB1","1","4","1","16","682.469977493717","-267.55292052","640","138","76.584262369","21.7","80","2257","12"
"1793","SO","KLMT","CP","CP9","1","4","1","28","46.5994272672832","509.2123631","362","25","183.284262369","31","125","2350","12"
"1794","SO","PULO","VI","VI4","2","3","4","34","662.852561489434","-217.79876816","611","55","121.084262369","22.3","81","2302","12"
"1795","SO","PULO","FB","FB9","2","5","1","32","664.485334551609","-299.62078209","409","81","101.584262369","28.9","74","2220","12"
"1796","SO","PULO","CR","CR4","2","1","4","36","393.767177639009","-202.9783438","846","141","80.184262369","18.4","73","2059","12"
"1797","SO","PULO","BR","BR7","2","2","4","60","560.434259159091","-278.6519551","1013","101","98.384262369","16.2","68","2010","12"
"1798","SO","PULO","BC","BC3","2","3","1","32","740.330530293661","-186.4741782","812","112","88.884262369","17.7","115","2525","12"
"1799","SO","CSCO","CC","CC2","2","2","1","28","509.638057216889","-279.25177662","444","-61","728.484262369","32.9","20","965","12"
"1800","SO","WIVA","ZE","ZE6","2","2","1","28","276.037350928908","-182.5228541","905","118","93.284262369","17.7","73","2000","12"
"1801","SO","CSCD","PF","PF5","2","4","4","45","485.695589335358","-37.2152584","713","133","81.784262369","20","95","2323","12"
"1802","SO","SRNA","SN","SN4","2","4","1","31","406.667007211178","244.7090392","983","3","285.184262369","19.9","30","1067","12"
"1803","SO","KLMT","CP","CP26","2","5","1","27","53.1167034526776","388.6523575","333","22","192.484262369","33.2","108","2205","12"
"1804","SO","CSCD","DE","DE5","2","4","1","40","265.13834227676","458.8925058","1639","204","61.284262369","9.6","186","2916","12"
"1805","SO","PULO","BC","BC8","2","2","1","23","740.103133284453","-200.6630235","829","113","88.184262369","17.4","116","2540","12"
"1806","SO","PULO","BR","BR3","2","4","1","40","560.444882105842","-269.85674046","1011","101","98.384262369","16.2","69","2014","12"
"1807","SO","CSCO","CC","CC2","2","3","4","34","509.638057216889","-279.25177662","444","-61","728.484262369","32.9","20","965","12"
"1808","SO","CORA","LA","LA8","2","2","1","30","591.831972324976","381.050928","724","-32","370.484262369","23.6","23","1109","12"
"1809","SO","KLMT","BK","BK3","2","3","1","32","81.5626884285419","-85.2662816","2253","226","59.584262369","8.8","41","1639","12"
"1810","SO","CORA","SA","SA7","2","4","1","15","622.91248730524","50.5983954","983","-27","330.584262369","19.2","18","931","12"
"1811","SO","WIVA","AK","AK6","1","3","1","43","254.871979866368","-249.88266486","781","84","113.884262369","20","66","1907","12"
"1812","SO","PULO","BC","BC3","1","5","1","31","740.330530293661","-186.4741782","812","112","88.884262369","17.7","115","2525","12"
"1813","SO","PULO","CR","CR2","1","3","1","30","393.767177639009","-202.9783438","846","141","80.184262369","18.4","73","2059","12"
"1814","SO","CORA","BA","BA3","1","3","1","35","97.3158579356447","-264.27583187","1415","129","71.884262369","12.5","35","1861","12"
"1815","SO","PULO","VI","VI3","1","3","2","50","666.380684416106","-233.84889918","629","57","120.184262369","21.9","79","2284","12"
"1816","SO","CORA","SA","SA7","1","3","4","46","622.91248730524","50.5983954","983","-27","330.584262369","19.2","18","931","12"
"1817","SO","SRNA","SN","SN1","1","2","1","40","400.518984434705","149.7435315","1126","6","277.784262369","17.9","31","1053","12"
"1818","SO","SRNA","PL","PL4","1","5","4","40","476.318316794568","463.7992153","755","-4","307.284262369","23.6","38","1230","12"
"1819","SO","CSCO","CC","CC4","1","3","1","43","509.598170347626","-288","448","-60","725.084262369","32.7","20","965","12"
"1820","SO","PULO","CL","CL1","2","1","4","28","609.906733353137","-272.94072819","595","125","82.584262369","23.3","69","2116","12"
"1821","SO","KLMT","RA","RA2","2","4","4","42","76.8259384148475","505","3256","350","43.284262369","6.1","54","1867","12"
"1822","SO","WIVA","WV","WV6","2","3","4","19","317.843772615195","-225.49500344","801","103","103.084262369","19.8","65","1869","12"
