Site,Ecoregion,Source,Family,Block,Tree,Condition,Height,Distance,ElevDist,eFFP,MSP,Slope,Aspect,Hardiness,DD.5.sp,Year
SF,CORA,GA,GA3,3,5,2,164,485.8465652,-86.744403,1231,-104,229.5041925,15.1,35,1558,14
SF,KLMT,GP,GP1,3,1,1,86,220.3224084,76.4981403,504,-104,240.6041925,26.7,78,2082,14
SF,KLMT,GP,GP1,3,2,2,87,220.3224084,76.4981403,504,-104,240.6041925,26.7,78,2082,14
SF,KLMT,GP,GP1,3,3,1,104,220.3224084,76.4981403,504,-104,240.6041925,26.7,78,2082,14
SF,KLMT,GP,GP1,3,4,2,90,220.3224084,76.4981403,504,-104,240.6041925,26.7,78,2082,14
SF,KLMT,GP,GP2,3,1,1,52,220.3542834,68.0337009,501,-105,243.9041925,26.9,77,2064,14
SF,KLMT,GP,GP2,3,2,1,37,220.3542834,68.0337009,501,-105,243.9041925,26.9,77,2064,14
SF,KLMT,GP,GP2,3,4,1,66,220.3542834,68.0337009,501,-105,243.9041925,26.9,77,2064,14
SF,KLMT,GP,GP2,3,5,2,90,220.3542834,68.0337009,501,-105,243.9041925,26.9,77,2064,14
SF,KLMT,HC,HC1,3,1,1,34,463.237401,40.2668277,1196,-90,202.2041925,15.5,34,1550,14
SF,KLMT,HC,HC1,3,2,1,34,463.237401,40.2668277,1196,-90,202.2041925,15.5,34,1550,14
SF,KLMT,HC,HC1,3,4,1,47,463.237401,40.2668277,1196,-90,202.2041925,15.5,34,1550,14
SF,KLMT,HC,HC1,3,5,1,120,463.237401,40.2668277,1196,-90,202.2041925,15.5,34,1550,14
SF,KLMT,HC,HC2,3,1,2,69,463.2168814,44.2300777,1196,-90,202.1041925,15.5,34,1550,14
SF,KLMT,HC,HC2,3,2,2,34,463.2168814,44.2300777,1196,-90,202.1041925,15.5,34,1550,14
SF,KLMT,HC,HC2,3,3,1,139,463.2168814,44.2300777,1196,-90,202.1041925,15.5,34,1550,14
