Site,Ecoregion,Source,Family,Block,Tree,Condition,Height,Distance,ElevDist,eFFP,MSP,Slope,Aspect,Hardiness,DD.5.sp,Year
SO,PULO,FB,FB3,1,5,2,63,662.8559742,-304.4829176,402,81,101.4842624,29.3,73,2208,14
SO,PULO,FB,FB9,1,1,2,35,664.4853346,-299.6207821,409,81,101.5842624,28.9,74,2220,14
SO,PULO,FB,FB9,1,2,2,24,664.4853346,-299.6207821,409,81,101.5842624,28.9,74,2220,14
SO,PULO,FB,FB9,1,4,1,40,664.4853346,-299.6207821,409,81,101.5842624,28.9,74,2220,14
SO,PULO,FB,FB9,1,5,2,49,664.4853346,-299.6207821,409,81,101.5842624,28.9,74,2220,14
SO,PULO,FW,FW10,1,1,2,26,535.2923339,-205.8244218,734,107,94.68426237,20.4,73,2067,14
SO,PULO,FW,FW10,1,2,2,43,535.2923339,-205.8244218,734,107,94.68426237,20.4,73,2067,14
SO,PULO,FW,FW10,1,3,2,26,535.2923339,-205.8244218,734,107,94.68426237,20.4,73,2067,14
SO,PULO,FW,FW10,1,4,2,53,535.2923339,-205.8244218,734,107,94.68426237,20.4,73,2067,14
SO,PULO,FW,FW10,1,5,2,29,535.2923339,-205.8244218,734,107,94.68426237,20.4,73,2067,14
SO,PULO,FW,FW3,1,1,1,20,535.2547868,-209.0350518,734,107,94.68426237,20.4,72,2066,14
SO,PULO,FW,FW3,1,2,2,33,535.2547868,-209.0350518,734,107,94.68426237,20.4,72,2066,14
SO,PULO,FW,FW3,1,3,2,30,535.2547868,-209.0350518,734,107,94.68426237,20.4,72,2066,14
SO,PULO,FW,FW3,1,4,1,52,535.2547868,-209.0350518,734,107,94.68426237,20.4,72,2066,14
SO,PULO,FW,FW3,1,5,2,31,535.2547868,-209.0350518,734,107,94.68426237,20.4,72,2066,14
SO,CORA,GA,GA1,1,1,1,39,274.1084324,-149.6550878,1187,-7,259.0842624,15.8,34,1372,14
SO,CORA,GA,GA1,1,2,2,43,274.1084324,-149.6550878,1187,-7,259.0842624,15.8,34,1372,14
SO,CORA,GA,GA1,1,3,2,27,274.1084324,-149.6550878,1187,-7,259.0842624,15.8,34,1372,14
SO,CORA,GA,GA1,1,4,2,24,274.1084324,-149.6550878,1187,-7,259.0842624,15.8,34,1372,14
SO,CORA,GA,GA1,1,5,2,15,274.1084324,-149.6550878,1187,-7,259.0842624,15.8,34,1372,14
SO,CORA,GA,GA2,1,1,2,34,274.3487155,-57.3354134,1255,4,228.1842624,15,35,1387,14
SO,CORA,GA,GA2,1,2,2,32,274.3487155,-57.3354134,1255,4,228.1842624,15,35,1387,14
SO,CORA,GA,GA2,1,3,2,28,274.3487155,-57.3354134,1255,4,228.1842624,15,35,1387,14
SO,CORA,GA,GA2,1,5,1,65,274.3487155,-57.3354134,1255,4,228.1842624,15,35,1387,14
SO,CORA,GA,GA3,1,1,2,7,274.1955728,-35.1828526,1251,3,229.5842624,15.1,35,1384,14
SO,CORA,GA,GA3,1,3,2,30,274.1955728,-35.1828526,1251,3,229.5842624,15.1,35,1384,14
SO,CORA,GA,GA3,1,4,2,45,274.1955728,-35.1828526,1251,3,229.5842624,15.1,35,1384,14
SO,CORA,GA,GA3,1,5,2,36,274.1955728,-35.1828526,1251,3,229.5842624,15.1,35,1384,14
SO,KLMT,GP,GP1,1,1,2,44,8.779054817,128.0596907,524,3,240.6842624,26.7,78,1908,14
SO,KLMT,GP,GP1,1,2,1,31,8.779054817,128.0596907,524,3,240.6842624,26.7,78,1908,14
SO,KLMT,GP,GP1,1,3,2,40,8.779054817,128.0596907,524,3,240.6842624,26.7,78,1908,14
SO,KLMT,GP,GP1,1,5,1,26,8.779054817,128.0596907,524,3,240.6842624,26.7,78,1908,14
SO,KLMT,GP,GP2,1,1,2,47,8.810098525,119.5952513,521,2,243.9842624,26.9,77,1890,14
SO,KLMT,GP,GP2,1,2,2,50,8.810098525,119.5952513,521,2,243.9842624,26.9,77,1890,14
SO,KLMT,GP,GP2,1,3,2,58,8.810098525,119.5952513,521,2,243.9842624,26.9,77,1890,14
SO,KLMT,GP,GP2,1,4,2,30,8.810098525,119.5952513,521,2,243.9842624,26.9,77,1890,14
SO,KLMT,GP,GP2,1,5,2,26,8.810098525,119.5952513,521,2,243.9842624,26.9,77,1890,14
SO,KLMT,HC,HC1,1,4,2,34,251.3444462,91.8283781,1216,17,202.2842624,15.5,34,1376,14
SO,KLMT,HC,HC1,1,5,1,19,251.3444462,91.8283781,1216,17,202.2842624,15.5,34,1376,14
SO,KLMT,HC,HC2,1,1,2,39,251.3262607,95.7916281,1216,17,202.1842624,15.5,34,1376,14
SO,KLMT,HC,HC2,1,3,1,61,251.3262607,95.7916281,1216,17,202.1842624,15.5,34,1376,14
SO,KLMT,HC,HC2,1,5,1,55,251.3262607,95.7916281,1216,17,202.1842624,15.5,34,1376,14
SO,CSCO,HP,HP1,1,1,2,32,394.1042032,-4,717,-37,469.9842624,24.6,28,1066,14
SO,CSCO,HP,HP1,1,2,2,20,394.1042032,-4,717,-37,469.9842624,24.6,28,1066,14
SO,CSCO,HP,HP1,1,3,2,19,394.1042032,-4,717,-37,469.9842624,24.6,28,1066,14
SO,CSCO,HP,HP1,1,4,2,25,394.1042032,-4,717,-37,469.9842624,24.6,28,1066,14
SO,KLMT,KLa,KL10,1,2,1,27,66.71232397,676.2019633,1505,62,136.8842624,11.6,90,2184,14
SO,KLMT,KLa,KL10,1,3,1,47,66.71232397,676.2019633,1505,62,136.8842624,11.6,90,2184,14
SO,KLMT,KLb,KL11,1,1,2,64,81.10717017,128,728,4,244.7842624,21.3,89,1984,14
SO,KLMT,KLb,KL11,1,2,2,47,81.10717017,128,728,4,244.7842624,21.3,89,1984,14
SO,KLMT,KLb,KL11,1,4,1,35,81.10717017,128,728,4,244.7842624,21.3,89,1984,14
SO,KLMT,KLb,KL11,1,5,2,34,81.10717017,128,728,4,244.7842624,21.3,89,1984,14
SO,KLMT,KLb,KL12,1,1,2,48,112.1669469,176,1145,17,225.4842624,16.4,52,1483,14
SO,KLMT,KLb,KL12,1,2,2,16,112.1669469,176,1145,17,225.4842624,16.4,52,1483,14
SO,KLMT,KLb,KL12,1,3,2,30,112.1669469,176,1145,17,225.4842624,16.4,52,1483,14
SO,KLMT,KLb,KL12,1,5,1,43,112.1669469,176,1145,17,225.4842624,16.4,52,1483,14
SO,KLMT,KLc,KL13,1,1,2,35,135.5772193,867,979,21,201.6842624,16.5,117,2230,14
SO,KLMT,KLc,KL13,1,2,2,28,135.5772193,867,979,21,201.6842624,16.5,117,2230,14
SO,KLMT,KLc,KL13,1,6,2,33,135.5772193,867,979,21,201.6842624,16.5,117,2230,14
SO,KLMT,KLc,KL14,1,1,2,24,136.1635004,-6,1099,26,218.0842624,17.7,40,1238,14
SO,KLMT,KLc,KL14,1,2,1,29,136.1635004,-6,1099,26,218.0842624,17.7,40,1238,14
SO,KLMT,KLc,KL14,1,3,1,30,136.1635004,-6,1099,26,218.0842624,17.7,40,1238,14
SO,KLMT,KLc,KL14,1,4,2,28,136.1635004,-6,1099,26,218.0842624,17.7,40,1238,14
SO,KLMT,KLa,KL6,1,1,1,56,66.47287198,603.031443,1467,55,145.8842624,12,87,2127,14
SO,KLMT,KLa,KL6,1,2,1,11,66.47287198,603.031443,1467,55,145.8842624,12,87,2127,14
SO,KLMT,KLa,KL6,1,3,1,48,66.47287198,603.031443,1467,55,145.8842624,12,87,2127,14
SO,KLMT,KLa,KL6,1,4,1,66,66.47287198,603.031443,1467,55,145.8842624,12,87,2127,14
SO,KLMT,KLa,KL7,1,1,2,27,66.75567516,675.6591217,1505,62,137.0842624,11.6,90,2184,14
SO,KLMT,KLa,KL7,1,2,2,56,66.75567516,675.6591217,1505,62,137.0842624,11.6,90,2184,14
SO,KLMT,KLa,KL7,1,3,1,38,66.75567516,675.6591217,1505,62,137.0842624,11.6,90,2184,14
SO,KLMT,KLa,KL7,1,4,2,43,66.75567516,675.6591217,1505,62,137.0842624,11.6,90,2184,14
SO,KLMT,KLa,KL7,1,5,2,24,66.75567516,675.6591217,1505,62,137.0842624,11.6,90,2184,14
SO,PULO,KM,KM1,1,1,1,20,532.7815321,-236.916507,925,101,98.38426237,17.3,71,2046,14
SO,PULO,KM,KM1,1,3,2,38,532.7815321,-236.916507,925,101,98.38426237,17.3,71,2046,14
SO,PULO,KM,KM1,1,4,2,45,532.7815321,-236.916507,925,101,98.38426237,17.3,71,2046,14
SO,PULO,KM,KM1,1,5,1,48,532.7815321,-236.916507,925,101,98.38426237,17.3,71,2046,14
SO,PULO,KM,KM10,1,3,2,35,532.614924,-227.5956657,924,101,98.08426237,17.3,71,2052,14
SO,PULO,KM,KM10,1,5,2,49,532.614924,-227.5956657,924,101,98.08426237,17.3,71,2052,14
SO,CORA,LA,LA10,1,1,2,42,590.3654196,341.3028825,727,-31,362.4842624,23.6,22,1085,14
SO,CORA,LA,LA13,1,2,2,55,586.5646419,242.7551679,662,-36,397.8842624,25.4,21,1045,14
SO,CORA,LA,LA13,1,3,2,54,586.5646419,242.7551679,662,-36,397.8842624,25.4,21,1045,14
SO,CORA,LA,LA13,1,4,1,66,586.5646419,242.7551679,662,-36,397.8842624,25.4,21,1045,14
SO,CORA,LA,LA13,1,5,2,37,586.5646419,242.7551679,662,-36,397.8842624,25.4,21,1045,14
SO,CORA,LA,LA5,1,1,2,32,600.1515303,137,774,-33,378.7842624,22.9,20,983,14
SO,CORA,LA,LA8,1,1,2,51,591.8319723,381.050928,724,-32,370.4842624,23.6,23,1109,14
SO,CORA,LA,LA8,1,4,2,45,591.8319723,381.050928,724,-32,370.4842624,23.6,23,1109,14
SO,CORA,LA,LA8,1,5,4,49,591.8319723,381.050928,724,-32,370.4842624,23.6,23,1109,14
SO,CORA,LC,LC1,1,1,1,40,615.4384306,293.9162552,1031,95,89.58426237,14.7,92,2506,14
SO,CORA,LC,LC1,1,2,2,68,615.4384306,293.9162552,1031,95,89.58426237,14.7,92,2506,14
SO,CORA,LC,LC1,1,5,2,33,615.4384306,293.9162552,1031,95,89.58426237,14.7,92,2506,14
SO,CORA,LC,LC2,1,1,2,47,613.7354569,-124.572292,1179,107,83.08426237,13.2,96,2558,14
SO,CORA,LC,LC2,1,2,2,47,613.7354569,-124.572292,1179,107,83.08426237,13.2,96,2558,14
SO,CORA,LC,LC2,1,5,2,33,613.7354569,-124.572292,1179,107,83.08426237,13.2,96,2558,14
SO,PULO,OH,OH1,1,1,1,48,643.0167669,-289.090593,235,59,110.7842624,37.8,73,2314,14
SO,PULO,OH,OH1,1,2,1,36,643.0167669,-289.090593,235,59,110.7842624,37.8,73,2314,14
SO,PULO,OH,OH1,1,4,2,42,643.0167669,-289.090593,235,59,110.7842624,37.8,73,2314,14
SO,PULO,OH,OH1,1,5,2,41,643.0167669,-289.090593,235,59,110.7842624,37.8,73,2314,14
SO,CSCD,OK,OK1,1,1,2,14,153.2421555,620.9884154,1039,187,67.78426237,14.8,118,2523,14
SO,CSCD,OK,OK1,1,2,2,56,153.2421555,620.9884154,1039,187,67.78426237,14.8,118,2523,14
SO,CSCD,OK,OK1,1,3,2,52,153.2421555,620.9884154,1039,187,67.78426237,14.8,118,2523,14
SO,CSCD,OK,OK1,1,5,2,41,153.2421555,620.9884154,1039,187,67.78426237,14.8,118,2523,14
SO,PULO,OL,OL1,1,2,1,33,503.0833037,-302.2447465,967,111,92.78426237,16.5,79,2132,14
SO,PULO,OL,OL1,1,4,2,57,503.0833037,-302.2447465,967,111,92.78426237,16.5,79,2132,14
SO,PULO,OL,OL1,1,5,2,42,503.0833037,-302.2447465,967,111,92.78426237,16.5,79,2132,14
SO,WIVA,OR,OR1,1,2,1,44,323.5773766,-129,928,87,108.1842624,17,85,2139,14
SO,WIVA,OR,OR1,1,3,2,37,323.5773766,-129,928,87,108.1842624,17,85,2139,14
SO,WIVA,OR,OR1,1,5,2,50,323.5773766,-129,928,87,108.1842624,17,85,2139,14
SO,WIVA,OR,OR1,1,6,1,36,323.5773766,-129,928,87,108.1842624,17,85,2139,14
SO,PULO,PA,PA1,1,2,1,52,617.7487238,-207.9989806,625,49,116.9842624,21.1,90,2524,14
SO,PULO,PA,PA1,1,3,1,13,617.7487238,-207.9989806,625,49,116.9842624,21.1,90,2524,14
SO,PULO,PA,PA3,1,2,2,40,619.0115373,-259.3975091,554,40,125.2842624,23.2,80,2438,14
SO,PULO,PA,PA3,1,4,1,23,619.0115373,-259.3975091,554,40,125.2842624,23.2,80,2438,14
SO,PULO,PA,PA3,1,5,2,53,619.0115373,-259.3975091,554,40,125.2842624,23.2,80,2438,14
SO,PULO,PA,PA4,1,1,1,45,618.4230191,-237.1433096,589,44,121.3842624,22.2,84,2476,14
SO,PULO,PA,PA4,1,3,2,55,618.4230191,-237.1433096,589,44,121.3842624,22.2,84,2476,14
SO,PULO,PA,PA4,1,4,2,39,618.4230191,-237.1433096,589,44,121.3842624,22.2,84,2476,14
SO,PULO,PA,PA4,1,5,1,15,618.4230191,-237.1433096,589,44,121.3842624,22.2,84,2476,14
SO,CSCD,PF,PF1,1,1,2,25,485.3418802,133.3859074,863,153,72.38426237,17,108,2490,14
SO,CSCD,PF,PF1,1,2,2,32,485.3418802,133.3859074,863,153,72.38426237,17,108,2490,14
SO,CSCD,PF,PF1,1,3,2,39,485.3418802,133.3859074,863,153,72.38426237,17,108,2490,14
SO,CSCD,PF,PF1,1,4,2,32,485.3418802,133.3859074,863,153,72.38426237,17,108,2490,14
SO,CSCD,PF,PF1,1,5,2,17,485.3418802,133.3859074,863,153,72.38426237,17,108,2490,14
SO,CSCD,PF,PF2,1,1,2,53,485.403003,128.4071987,858,152,72.68426237,17.1,108,2483,14
SO,CSCD,PF,PF2,1,2,2,22,485.403003,128.4071987,858,152,72.68426237,17.1,108,2483,14
