Site,Ecoregion,Source,Family,Block,Tree,Condition,Height,Distance,ElevDist,eFFP,MSP,Slope,Aspect,Hardiness,DD.5.sp,Year
PV,KLMT,HC,HC1,2,2,1,55,775.1487302,397.7296206,1195,-79,202.3326928,15.5,34,1452,12
PV,KLMT,HC,HC1,2,3,1,33,775.1487302,397.7296206,1195,-79,202.3326928,15.5,34,1452,12
PV,KLMT,HC,HC1,2,4,1,58,775.1487302,397.7296206,1195,-79,202.3326928,15.5,34,1452,12
PV,KLMT,HC,HC1,2,5,1,44,775.1487302,397.7296206,1195,-79,202.3326928,15.5,34,1452,12
PV,KLMT,HC,HC2,2,1,1,26,775.1315268,401.6928706,1195,-79,202.2326928,15.5,34,1452,12
PV,KLMT,HC,HC2,2,2,2,37,775.1315268,401.6928706,1195,-79,202.2326928,15.5,34,1452,12
PV,KLMT,HC,HC2,2,3,1,54,775.1315268,401.6928706,1195,-79,202.2326928,15.5,34,1452,12
PV,KLMT,HC,HC2,2,4,1,28,775.1315268,401.6928706,1195,-79,202.2326928,15.5,34,1452,12
PV,KLMT,HC,HC2,2,5,1,59,775.1315268,401.6928706,1195,-79,202.2326928,15.5,34,1452,12
PV,CSCO,HP,HP1,2,1,1,53,911.9043985,301.9012425,696,-133,470.0326928,24.6,28,1142,12
PV,CSCO,HP,HP1,2,2,1,49,911.9043985,301.9012425,696,-133,470.0326928,24.6,28,1142,12
PV,CSCO,HP,HP1,2,3,1,90,911.9043985,301.9012425,696,-133,470.0326928,24.6,28,1142,12
PV,CSCO,HP,HP1,2,4,1,48,911.9043985,301.9012425,696,-133,470.0326928,24.6,28,1142,12
PV,CSCO,HP,HP1,2,5,1,47,911.9043985,301.9012425,696,-133,470.0326928,24.6,28,1142,12
PV,KLMT,KLa,KL10,2,1,1,21,590.5656859,982.1032058,1484,-34,136.9326928,11.6,90,2260,12
PV,KLMT,KLa,KL10,2,3,2,43,590.5656859,982.1032058,1484,-34,136.9326928,11.6,90,2260,12
PV,KLMT,KLa,KL10,2,4,1,48,590.5656859,982.1032058,1484,-34,136.9326928,11.6,90,2260,12
PV,KLMT,KLa,KL10,2,5,1,37,590.5656859,982.1032058,1484,-34,136.9326928,11.6,90,2260,12
PV,KLMT,KLb,KL11,2,1,1,52,599.141257,433.9012425,707,-92,244.8326928,21.3,89,2060,12
PV,KLMT,KLb,KL11,2,2,1,40,599.141257,433.9012425,707,-92,244.8326928,21.3,89,2060,12
PV,KLMT,KLb,KL11,2,3,1,46,599.141257,433.9012425,707,-92,244.8326928,21.3,89,2060,12
PV,KLMT,KLb,KL11,2,4,1,36,599.141257,433.9012425,707,-92,244.8326928,21.3,89,2060,12
PV,KLMT,KLb,KL11,2,5,1,59,599.141257,433.9012425,707,-92,244.8326928,21.3,89,2060,12
PV,KLMT,KLb,KL12,2,1,1,49,635.8101887,481.9012425,1124,-79,225.5326928,16.4,52,1559,12
PV,KLMT,KLb,KL12,2,2,1,44,635.8101887,481.9012425,1124,-79,225.5326928,16.4,52,1559,12
PV,KLMT,KLb,KL12,2,3,1,26,635.8101887,481.9012425,1124,-79,225.5326928,16.4,52,1559,12
PV,KLMT,KLb,KL12,2,4,1,52,635.8101887,481.9012425,1124,-79,225.5326928,16.4,52,1559,12
PV,KLMT,KLb,KL12,2,5,1,60,635.8101887,481.9012425,1124,-79,225.5326928,16.4,52,1559,12
PV,KLMT,KLc,KL13,2,1,1,46,654.3651335,1172.901242,958,-75,201.7326928,16.5,117,2306,12
PV,KLMT,KLc,KL13,2,2,1,37,654.3651335,1172.901242,958,-75,201.7326928,16.5,117,2306,12
PV,KLMT,KLc,KL13,2,3,1,64,654.3651335,1172.901242,958,-75,201.7326928,16.5,117,2306,12
PV,KLMT,KLc,KL13,2,4,1,52,654.3651335,1172.901242,958,-75,201.7326928,16.5,117,2306,12
PV,KLMT,KLc,KL13,2,5,1,45,654.3651335,1172.901242,958,-75,201.7326928,16.5,117,2306,12
PV,KLMT,KLc,KL14,2,1,1,18,659.6300783,299.9012425,1078,-70,218.1326928,17.7,40,1314,12
PV,KLMT,KLc,KL14,2,2,1,48,659.6300783,299.9012425,1078,-70,218.1326928,17.7,40,1314,12
PV,KLMT,KLc,KL14,2,3,1,20,659.6300783,299.9012425,1078,-70,218.1326928,17.7,40,1314,12
PV,KLMT,KLc,KL14,2,4,1,52,659.6300783,299.9012425,1078,-70,218.1326928,17.7,40,1314,12
PV,KLMT,KLc,KL14,2,5,1,55,659.6300783,299.9012425,1078,-70,218.1326928,17.7,40,1314,12
PV,KLMT,KLa,KL6,2,1,1,33,590.3051545,908.9326855,1446,-41,145.9326928,12,87,2203,12
PV,KLMT,KLa,KL6,2,2,1,52,590.3051545,908.9326855,1446,-41,145.9326928,12,87,2203,12
PV,KLMT,KLa,KL6,2,3,1,35,590.3051545,908.9326855,1446,-41,145.9326928,12,87,2203,12
PV,KLMT,KLa,KL6,2,4,1,46,590.3051545,908.9326855,1446,-41,145.9326928,12,87,2203,12
PV,KLMT,KLa,KL6,2,5,1,33,590.3051545,908.9326855,1446,-41,145.9326928,12,87,2203,12
PV,KLMT,KLa,KL7,2,1,1,53,590.6057623,981.5603642,1484,-34,137.1326928,11.6,90,2260,12
PV,KLMT,KLa,KL7,2,2,1,30,590.6057623,981.5603642,1484,-34,137.1326928,11.6,90,2260,12
PV,KLMT,KLa,KL7,2,3,1,46,590.6057623,981.5603642,1484,-34,137.1326928,11.6,90,2260,12
PV,KLMT,KLa,KL7,2,4,1,53,590.6057623,981.5603642,1484,-34,137.1326928,11.6,90,2260,12
PV,KLMT,KLa,KL7,2,5,1,23,590.6057623,981.5603642,1484,-34,137.1326928,11.6,90,2260,12
PV,PULO,KM,KM1,2,1,1,48,29.33537806,68.98473547,904,5,98.43269276,17.3,71,2122,12
PV,PULO,KM,KM1,2,2,1,50,29.33537806,68.98473547,904,5,98.43269276,17.3,71,2122,12
PV,PULO,KM,KM1,2,3,1,38,29.33537806,68.98473547,904,5,98.43269276,17.3,71,2122,12
PV,PULO,KM,KM1,2,5,1,37,29.33537806,68.98473547,904,5,98.43269276,17.3,71,2122,12
PV,PULO,KM,KM10,2,1,1,29,29.25620553,78.30557675,903,5,98.13269276,17.3,71,2128,12
PV,PULO,KM,KM10,2,2,1,62,29.25620553,78.30557675,903,5,98.13269276,17.3,71,2128,12
PV,PULO,KM,KM10,2,3,1,36,29.25620553,78.30557675,903,5,98.13269276,17.3,71,2128,12
PV,PULO,KM,KM10,2,4,2,38,29.25620553,78.30557675,903,5,98.13269276,17.3,71,2128,12
PV,PULO,KM,KM10,2,5,1,47,29.25620553,78.30557675,903,5,98.13269276,17.3,71,2128,12
PV,CORA,LA,LA10,2,2,2,15,1097.833631,647.204125,706,-127,362.5326928,23.6,22,1161,12
PV,CORA,LA,LA10,2,3,1,43,1097.833631,647.204125,706,-127,362.5326928,23.6,22,1161,12
PV,CORA,LA,LA10,2,4,1,33,1097.833631,647.204125,706,-127,362.5326928,23.6,22,1161,12
PV,CORA,LA,LA10,2,5,1,32,1097.833631,647.204125,706,-127,362.5326928,23.6,22,1161,12
PV,CORA,LA,LA13,2,1,1,47,1094.030801,548.6564104,641,-132,397.9326928,25.4,21,1121,12
PV,CORA,LA,LA13,2,2,1,43,1094.030801,548.6564104,641,-132,397.9326928,25.4,21,1121,12
PV,CORA,LA,LA13,2,3,1,32,1094.030801,548.6564104,641,-132,397.9326928,25.4,21,1121,12
PV,CORA,LA,LA13,2,4,1,38,1094.030801,548.6564104,641,-132,397.9326928,25.4,21,1121,12
PV,CORA,LA,LA13,2,5,1,44,1094.030801,548.6564104,641,-132,397.9326928,25.4,21,1121,12
