"","Site","Block","Tree","Source","Name","cond","ht","Year"
"407","PH",1,2,"VI","VI5",1,44,12
"408","PH",1,3,"VI","VI5",1,69,12
"409","PH",1,4,"VI","VI5",1,37,12
"410","PH",1,5,"VI","VI5",1,42,12
"411","PH",1,1,"WL","WL3",1,55,12
"412","PH",1,2,"WL","WL3",1,42,12
"413","PH",1,3,"WL","WL3",1,41,12
"414","PH",1,4,"WL","WL3",1,21,12
"415","PH",1,5,"WL","WL3",1,59,12
"416","PH",1,1,"WL","WL8",1,52,12
"417","PH",1,2,"WL","WL8",1,40,12
"418","PH",1,4,"WL","WL8",1,35,12
"419","PH",1,5,"WL","WL8",1,32,12
"420","PH",1,1,"WV","WV2",1,57,12
"421","PH",1,2,"WV","WV2",1,54,12
"422","PH",1,3,"WV","WV2",1,77,12
"423","PH",1,4,"WV","WV2",1,26,12
"424","PH",1,5,"WV","WV2",1,53,12
"425","PH",1,1,"WV","WV6",1,59,12
"426","PH",1,2,"WV","WV6",1,70,12
"427","PH",1,3,"WV","WV6",1,59,12
"428","PH",1,4,"WV","WV6",1,65,12
"429","PH",1,5,"WV","WV6",1,53,12
"430","PH",1,1,"ZE","ZE1",1,70,12
"431","PH",1,3,"ZE","ZE1",1,48,12
"432","PH",1,4,"ZE","ZE1",1,52,12
"433","PH",1,1,"ZE","ZE4",1,35,12
"434","PH",1,2,"ZE","ZE4",1,69,12
"435","PH",1,3,"ZE","ZE4",1,39,12
"436","PH",1,4,"ZE","ZE4",1,22,12
"437","PH",1,5,"ZE","ZE4",1,41,12
"438","PH",1,1,"ZE","ZE6",1,69,12
"439","PH",1,3,"ZE","ZE6",1,47,12
"440","PH",1,4,"ZE","ZE6",1,58,12
"441","PH",1,5,"ZE","ZE6",1,58,12
"442","PH",2,1,"AK","AK3",1,57,12
"443","PH",2,2,"AK","AK3",1,38,12
"444","PH",2,3,"AK","AK3",1,32,12
"445","PH",2,4,"AK","AK3",1,34,12
"446","PH",2,5,"AK","AK3",1,58,12
"447","PH",2,1,"AK","AK6",1,34,12
"448","PH",2,2,"AK","AK6",1,80,12
"449","PH",2,3,"AK","AK6",1,53,12
"450","PH",2,5,"AK","AK6",1,56,12
"451","PH",2,1,"AK","AK9",1,61,12
"452","PH",2,2,"AK","AK9",1,55,12
"453","PH",2,3,"AK","AK9",1,49,12
"454","PH",2,4,"AK","AK9",1,36,12
"455","PH",2,5,"AK","AK9",1,39,12
"456","PH",2,1,"BA","BA2",1,25,12
"457","PH",2,3,"BA","BA2",1,57,12
"458","PH",2,4,"BA","BA2",1,48,12
"459","PH",2,1,"BA","BA3",1,50,12
"460","PH",2,2,"BA","BA3",1,60,12
"461","PH",2,3,"BA","BA3",1,50,12
"462","PH",2,4,"BA","BA3",1,54,12
"463","PH",2,1,"BA","BA5",1,44,12
"464","PH",2,2,"BA","BA5",1,42,12
"465","PH",2,3,"BA","BA5",1,59,12
"466","PH",2,4,"BA","BA5",1,87,12
"467","PH",2,5,"BA","BA5",1,52,12
"468","PH",2,1,"BC","BC3",1,37,12
"469","PH",2,2,"BC","BC3",1,43,12
"470","PH",2,3,"BC","BC3",1,57,12
"471","PH",2,4,"BC","BC3",1,61,12
"472","PH",2,5,"BC","BC3",1,56,12
"473","PH",2,1,"BC","BC6",1,45,12
"474","PH",2,2,"BC","BC6",1,58,12
"475","PH",2,3,"BC","BC6",1,36,12
